datetime;time;temperature;humidity;winddir;windspeed
13/04/2021 22:00;00:00;7.5;59;27;4
13/04/2021 23:00;00:00;8.0;61;28;4
14/04/2021 00:00;00:00;9.1;60;29;5
14/04/2021 01:00;01:00;9.5;69;29;17
14/04/2021 02:00;02:00;9.4;66;27;21
14/04/2021 03:00;03:00;9.4;60;22;34
14/04/2021 04:00;04:00;9.5;66;36;24
14/04/2021 05:00;05:00;9.5;72;30;18
14/04/2021 06:00;06:00;9.1;69;20;5
14/04/2021 07:00;07:00;10.3;72;;4
14/04/2021 08:00;08:00;10.7;74;1;5
14/04/2021 09:00;09:00;10.8;67;;4
14/04/2021 10:00;10:00;11.4;64;6;11
14/04/2021 11:00;11:00;11.8;61;3;9
14/04/2021 12:00;12:00;11.2;55;7;11
14/04/2021 13:00;13:00;11.2;49;;0
14/04/2021 14:00;14:00;12.1;47;7;5
14/04/2021 15:00;15:00;12.4;49;36;9
14/04/2021 16:00;16:00;12.4;55;;4
14/04/2021 17:00;17:00;12.2;51;5;21
14/04/2021 18:00;18:00;11.5;54;5;15
14/04/2021 19:00;19:00;10.9;60;6;15
14/04/2021 20:00;20:00;10.2;62;6;11
14/04/2021 21:00;21:00;9.4;63;5;17
14/04/2021 22:00;22:00;9.3;68;5;11
14/04/2021 23:00;23:00;9.0;71;7;9
15/04/2021 00:00;00:00;8.9;81;25;5
15/04/2021 01:00;01:00;8.3;78;;4
15/04/2021 02:00;02:00;8.1;80;26;5
15/04/2021 03:00;03:00;8.3;83;;4
15/04/2021 04:00;04:00;8.0;83;;0
15/04/2021 05:00;05:00;8.9;83;13;11
15/04/2021 06:00;06:00;9.5;89;;0
15/04/2021 07:00;07:00;10.1;84;;0
15/04/2021 08:00;08:00;10.1;79;;0
15/04/2021 09:00;09:00;10.2;74;;4
15/04/2021 10:00;10:00;10.5;60;;8
15/04/2021 11:00;11:00;10.7;55;;4
15/04/2021 12:00;12:00;11.1;56;6;13
15/04/2021 13:00;13:00;11.8;58;5;13
15/04/2021 14:00;14:00;12.6;55;;9
15/04/2021 15:00;15:00;12.7;56;10;17
15/04/2021 16:00;16:00;13.0;56;8;9
15/04/2021 17:00;17:00;13.9;56;15;5
15/04/2021 18:00;18:00;13.1;57;9;13
15/04/2021 19:00;19:00;12.6;52;8;11
15/04/2021 20:00;20:00;12.3;62;7;11
15/04/2021 21:00;21:00;11.9;67;11;9
15/04/2021 22:00;22:00;10.2;80;31;4
15/04/2021 23:00;23:00;9.2;83;12;8